code,log_or,p_two,group
Z38.2,4.786745347943271,1.7155122044111735,Z
P03.82,1.5984057164510896,0.27481328289006834,P
Z01.10,2.802251519333114,0.906797813696554,Z
Z48,5.049439406624516,1.7258381330272918,Z
H50.10,4.590980491887387,1.4588616988137673,H
L71.0,5.25067539540998,1.540272885924248,L
J10,0.034846328348865856,-0.3962752376961655,J
H92.03,4.813351280614795,1.8748697279265856,H
L23,4.374765279695927,1.290875397352952,L
Z13.0,1.9873042455928305,0.2958163458839084,Z
R10.83,4.998082283484115,1.8949930245053586,R
P78,4.693196274372355,1.452956159296707,P
P78.83,4.262501048497407,1.2389835097387099,P
J96.01,3.5881801522129417,0.6804485001818378,J
